,Name,Event,Time (s),Model,value,error
48,50,13,465.0,Linear Regression,443.2144650990366,21.7855349009634
49,50,10,223.52,Linear Regression,222.7050340422031,0.8149659577969146
50,49,6,127.13,Linear Regression,126.69027320292425,0.4397267970757497
51,48,4,895.85,Linear Regression,860.4919348825247,35.35806511747535
52,47,2,51.09,Linear Regression,50.390603520884476,0.6993964791155278
53,46,1,58.33,Linear Regression,58.567329083150014,-0.23732908315001566
54,45,11,251.16,Linear Regression,252.12571988150933,-0.9657198815093295
55,44,12,21.55,Linear Regression,20.779560536209612,0.7704394637903889
56,43,8,105.01,Linear Regression,105.60708308617029,-0.5970830861702865
57,42,2,50.92,Linear Regression,52.90317677754773,-1.983176777547726
58,41,11,250.28,Linear Regression,243.94242898601382,6.337571013986178
59,40,11,250.59,Linear Regression,242.19909010760813,8.390909892391875
60,39,7,114.93,Linear Regression,108.59089831524892,6.3391016847510855
61,38,0,52.79,Linear Regression,51.0479107873033,1.7420892126966976
62,37,3,47.44,Linear Regression,47.24957856161042,0.1904214383895777
63,37,0,52.0,Linear Regression,52.36811758357312,-0.36811758357311675
64,36,7,114.52,Linear Regression,112.4275213326386,2.092478667361391
65,35,5,116.39,Linear Regression,110.74444733215962,5.645552667840377
66,34,6,127.01,Linear Regression,128.42054452229536,-1.4105445222953534
67,34,1,58.0,Linear Regression,59.09607310221607,-1.0960731022160672
68,33,11,249.42,Linear Regression,237.65552407002403,11.764475929975958
69,32,4,895.48,Linear Regression,854.7555477379987,40.724452262001364
70,31,5,117.32,Linear Regression,107.7467988124022,9.573201187597789
71,30,8,105.26,Linear Regression,104.31757827062769,0.9424217293723132
72,30,3,47.82,Linear Regression,47.723555725709964,0.09644427429003599
73,29,7,113.73,Linear Regression,113.99267975909979,-0.2626797590997825
74,28,9,117.49,Linear Regression,110.33215786473943,7.157842135260566
75,27,10,223.36,Linear Regression,224.2497669314977,-0.8897669314976895
76,26,3,47.72,Linear Regression,49.1580589479478,-1.4380589479478019
77,25,5,114.72,Linear Regression,113.49379254680377,1.2262074531962242
78,24,0,54.89,Linear Regression,53.609465512370406,1.2805344876295948
79,24,0,52.78,Linear Regression,52.93912462844582,-0.15912462844581654
